Homer_Motif_Name	Edited_Motif_name	Ensembl_Gene_Id
RUNX2(Runt)/PCa-RUNX2-ChIP-Seq(GSE33889)/Homer	RUNX2	ENSG00000124813
NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)/Homer	NPAS2	ENSG00000170485
PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	PU.1	ENSG00000066336
Nkx2.5(Homeobox)/HL1-Nkx2.5.biotin-ChIP-Seq(GSE21529)/Homer	Nkx2.5	ENSG00000183072
Stat3(Stat)/mES-Stat3-ChIP-Seq(GSE11431)/Homer	Stat3	ENSG00000168610
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)/Homer	MafF	ENSG00000185022
RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	RUNX1	ENSG00000159216
RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	RUNX1	ENSG00000159216
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer	Znf263	ENSG00000006194
ZNF675(Zf)/HEK293-ZNF675.GFP-ChIP-Seq(GSE58341)/Homer	ZNF675	ENSG00000197372
"NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer"	"NFkB-p50,p52"	ENSG00000109320
ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441)/Homer	ETV1	ENSG00000006468
ZFX(Zf)/mES-Zfx-ChIP-Seq(GSE11431)/Homer	ZFX	ENSG00000005889
p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)/Homer	p73	ENSG00000078900
ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)/Homer	ELF1	ENSG00000120690
Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402)/Homer(0.967)	Etv2	ENSG00000105672
ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	ETS1	ENSG00000134954
"NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer"	FOXA1	ENSG00000129514
Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)/Homer	Smad2	ENSG00000175387
RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	RFX3	ENSG00000080298
EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)/Homer	EBF1	ENSG00000164330
EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)/Homer	EBF1	ENSG00000164330
Nkx3.1(Homeobox)/LNCaP-Nkx3.1-ChIP-Seq(GSE28264)/Homer	Nkx3.1	ENSG00000167034
E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)/Homer	E2F4	ENSG00000205250
Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer	Nanog	ENSG00000111704
Smad4(MAD)/ESC-SMAD4-ChIP-Seq(GSE29422)/Homer	Smad4	ENSG00000141646
ZNF416(Zf)/HEK293-ZNF416.GFP-ChIP-Seq(GSE58341)/Homer	ZNF416	ENSG00000083817
Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	Egr1	ENSG00000120738
Stat3+il21(Stat)/CD4-Stat3-ChIP-Seq(GSE19198)/Homer	Stat3	ENSG00000168610
E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	E2F1	ENSG00000101412
Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	Elk1	ENSG00000126767
GFY(?)/Promoter/Homer	GFY	ENSG00000261949
NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	NRF1	ENSG00000106459
T1ISRE(IRF)/ThioMac-Ifnb-Expression/Homer	Ifnb	ENSG00000171855
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	Brachyury	ENSG00000164458
Foxo1(Forkhead)/RAW-Foxo1-ChIP-Seq(Fan_et_al.)/Homer	Foxo1	ENSG00000150907
Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)/Homer	Elk4	ENSG00000158711
Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	Rfx2	ENSG00000087903
STAT4(Stat)/CD4-Stat4-ChIP-Seq(GSE22104)/Homer	STAT4	ENSG00000138378
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	c-Myc	ENSG00000136997
ZNF322(Zf)/HEK293-ZNF322.GFP-ChIP-Seq(GSE58341)/Homer	ZNF322	ENSG00000181315
Nkx2.2(Homeobox)/NPC-Nkx2.2-ChIP-Seq(GSE61673)/Homer	Nkx2.2	ENSG00000125820
"OCT:OCT(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer"	OCT.6	ENSG00000185668
Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)/Homer	Erra	ENSG00000173153
SPDEF(ETS)/VCaP-SPDEF-ChIP-Seq(SRA014231)/Homer	SPDEF	ENSG00000124664
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)/Homer	IRF8	ENSG00000140968
ZNF711(Zf)/SHSY5Y-ZNF711-ChIP-Seq(GSE20673)/Homer	ZNF711	ENSG00000147180
"Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer"	Pitx1	ENSG00000069011
PR(NR)/T47D-PR-ChIP-Seq(GSE31130)/Homer	PR	ENSG00000082175
Slug(Zf)/Mesoderm-Snai2-ChIP-Seq(GSE61475)/Homer	Slug	ENSG00000019549
ZEB1(Zf)/PDAC-ZEB1-ChIP-Seq(GSE64557)/Homer	ZEB1	ENSG00000148516
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)/Homer	IRF4	ENSG00000137265
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	AR	ENSG00000169083
"RXR(NR),DR1/3T3L1-RXR-ChIP-Seq(GSE13511)/Homer"	RXRA	ENSG00000186350
Foxh1(Forkhead)/hESC-FOXH1-ChIP-Seq(GSE29422)/Homer	Foxh1	ENSG00000160973
Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)/Homer	NKX3.2	ENSG00000109705
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	AP-2gamma	ENSG00000087510
TATA-Box(TBP)/Promoter/Homer	TATA-Box	NOT_GENE
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)/Homer	GABPA	ÊENSG00000154727
EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer	EWS:FLI1-fusion	NOT_GENE
"OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer"	OCT4-SOX2-TCF-NANOG	NOT_GENE
EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer	EWS:ERG-fusion	NOT_GENE
NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)/Homer	p65	ENSG00000173039
NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)/Homer	NF1	ENSG00000196712
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer	Fli1	ENSG00000151702
Foxa3(Forkhead)/Liver-Foxa3-ChIP-Seq(GSE77670)/Homer	Foxa3	ENSG00000170608
Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)/Homer	Twist	ENSG00000122691
ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	ERG	ENSG00000157554
Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer	Zic3	ENSG00000156925
EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)/Homer	EHF	ENSG00000135373
ZNF189(Zf)/HEK293-ZNF189.GFP-ChIP-Seq(GSE58341)/Homer	ZNF189	ENSG00000136870
Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)/Homer	Eomes	ENSG00000163508
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)/Homer	E2F3	ENSG00000112242
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer	c-Myc	ENSG00000136997
"ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer"	SCL	ENSG00000162367
FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)/Homer	FOXA1	ENSG00000129514
FOXA1(Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	FOXA1	ENSG00000129514
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer	E2F6	ENSG00000169016
Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)/Homer	Foxa2	ENSG00000125798
Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)/Homer	Pitx1	ENSG00000069011
Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer	Ap4	ENSG00000090447
n-Myc(bHLH)/mES-nMyc-ChIP-Seq(GSE11431)/Homer	n-Myc	ENSG00000134323
PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer	DMC1	ENSG00000100206
FOXM1(Forkhead)/MCF7-FOXM1-ChIP-Seq(GSE72977)/Homer	FOXM1	ENSG00000111206
GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3	ENSG00000107485
Rfx5(HTH)/GM12878-Rfx5-ChIP-Seq(GSE31477)/Homer	Rfx5	ENSG00000143390
Gata2(Zf)/K562-GATA2-ChIP-Seq(GSE18829)/Homer	Gata2	ENSG00000179348
Nanog(Homeobox)/mES-Nanog-ChIP-Seq(GSE11724)/Homer	Nanog	ENSG00000111704
Gata4(Zf)/Heart-Gata4-ChIP-Seq(GSE35151)/Homer	Gata4	ENSG00000136574
MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer	MyoG	ENSG00000122180
Gata6(Zf)/HUG1N-GATA6-ChIP-Seq(GSE51936)/Homer	Gata6	ENSG00000141448
SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer	SCL	ENSG00000162367
Gata1(Zf)/K562-GATA1-ChIP-Seq(GSE18829)/Homer	Gata1	ENSG00000102145
"Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer"	Foxa2	ENSG00000125798
ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)/Homer	ZBTB18	ENSG00000179456
Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer	Myf5	ENSG00000111049
Rfx6(HTH)/Min6b1-Rfx6.HA-ChIP-Seq(GSE62844)/Homer	Rfx6	ENSG00000185002
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer	NF1	ENSG00000196712
Olig2(bHLH)/Neuron-Olig2-ChIP-Seq(GSE30882)/Homer	Olig2	ENSG00000205927
MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)/Homer	MyoD	ENSG00000129152
NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)/Homer	NeuroG2	ENSG00000178403
Tcf21(bHLH)/ArterySmoothMuscle-Tcf21-ChIP-Seq(GSE61369)/Homer	Tcf21	ENSG00000118526
Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	Tlx?(NR)	NOT_GENE
E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	E2A	ENSG00000071564
NeuroD1(bHLH)/Islet-NeuroD1-ChIP-Seq(GSE30298)/Homer	NeuroD1	ENSG00000162992
Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)/Homer	Ascl1	ENSG00000139352
Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer	Ptf1a	ENSG00000168267
Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)/Homer	Tcf12	ENSG00000140262
Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer	Atoh1	ENSG00000172238
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	BORIS	ENSG00000124092
HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)/Homer	HEB	ENSG00000140262
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF	ENSG00000102974
ZNF528(Zf)/HEK293-ZNF528.GFP-ChIP-Seq(GSE58341)/Homer	ZNF528	ENSG00000167555
ZNF41(Zf)/HEK293-ZNF41.GFP-ChIP-Seq(GSE58341)/Homer	ZNF41	ENSG00000147124
ZNF16(Zf)/HEK293-ZNF16.GFP-ChIP-Seq(GSE58341)/Homer	ZNF16	ENSG00000170631
REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	REST-NRSF	ENSG00000084093
Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	Ronin	ENSG00000168286
