SNP	AssociatedIndexSNP
rs10228796	rs1974620
rs10258074	rs1974620
rs2191348	rs1974620
rs2191349	rs1974620
rs4721401	rs1974620
rs4719433	rs1974620
rs6967891	rs1974620
rs1974619	rs1974620
rs1974620	rs1974620
rs60344207	rs1974620
rs1990379	rs1974620
rs864745	rs864745
rs1635852	rs864745
rs849133	rs864745
rs860262	rs864745
rs849134	rs864745
rs149445912	rs2284219
rs1076291	rs2284219
rs1076292	rs2284219
rs2251002	rs2284219
rs2284218	rs2284219
rs2284219	rs2284219
rs733453	rs2284219
rs2267715	rs2284219
rs12533248	rs2284219
rs255098	rs2284219
rs255100	rs2284219
rs4724193	rs10231619
rs4724194	rs10231619
rs7803038	rs10231619
rs7809096	rs10231619
rs9648079	rs10231619
rs10231619	rs10231619
rs10264353	rs10231619
rs77411456	rs10231619
rs7785614	rs10231619
rs28622556	rs10231619
rs728191	rs10231619
rs4724195	rs10231619
rs10272268	rs10231619
rs10951721	rs10231619
rs71649034	rs10231619
rs10276639	rs10231619
rs10242062	rs10231619
rs10243459	rs10231619
rs10246645	rs10231619
rs7794383	rs10231619
rs730497	rs730497
rs6975024	rs730497
rs2908286	rs730497
rs4607517	rs730497
rs10248619	rs10248619
rs10239132	rs10248619
rs6960169	rs10248619
rs7801190	rs7636
rs58194245	rs7636
rs17162518	rs7636
rs57322794	rs7636
rs55833792	rs7636
rs17228616	rs7636
rs7636	rs7636
rs57058793	rs7636
rs56966144	rs7636
rs139501469	rs7636
rs73714210	rs7636
rs6467136	rs6467136
rs10269701	rs6467136
rs6962882	rs6467136
rs7783500	rs6467136
rs6955138	rs6467136
rs3757793	rs6467136
rs10229583	rs10229583
rs71969685	rs791595
rs791595	rs791595
rs56258902	rs972283
rs34748838	rs972283
rs6467315	rs972283
rs10954284	rs972283
rs972283	rs972283
rs12386585	rs12386622
rs12386586	rs12386622
rs12386646	rs12386622
rs55987912	rs12386622
rs7777156	rs12386622
rs12386622	rs12386622
rs12707027	rs12386622
rs9987289	rs4841132
rs4841132	rs4841132
rs4841133	rs4841132
rs4240624	rs4841132
rs6601299	rs4841132
rs1461729	rs4841132
rs2947398	rs2946504
rs2977097	rs2946504
rs2977095	rs2946504
rs2977094	rs2946504
rs2946504	rs2946504
rs2722425	rs2722425
rs12549294	rs12549902
rs6981607	rs12549902
rs12549902	rs12549902
rs4737000	rs12549902
rs4736819	rs12549902
rs6150565	rs12549902
rs17659386	rs12549902
rs17659428	rs12549902
rs12544241	rs12549902
rs6990613	rs12549902
rs716199	rs12549902
rs10504042	rs12549902
rs516946	rs515071
rs508419	rs515071
rs9694034	rs515071
rs11354309	rs515071
rs28591316	rs515071
rs28602970	rs515071
rs10109812	rs515071
rs750625	rs515071
rs28406371	rs7003257
rs1383987	rs7003257
rs7003257	rs7003257
rs13273088	rs13273088
rs4355737	rs17359493
rs111863099	rs17359493
rs59091366	rs17359493
rs59265059	rs17359493
rs11779041	rs17359493
rs11776687	rs17359493
rs201069536	rs17359493
rs111568899	rs17359493
rs4345531	rs17359493
rs75025610	rs17359493
rs73269188	rs17359493
rs73269191	rs17359493
rs112956884	rs17359493
rs111759946	rs17359493
rs73269199	rs17359493
rs11778250	rs17359493
rs57063661	rs17359493
rs11783589	rs17359493
rs7834966	rs17359493
rs58489999	rs17359493
rs11784299	rs17359493
rs34565755	rs17359493
rs10956927	rs17359493
rs11786389	rs17359493
rs148289961	rs17359493
rs11781429	rs17359493
rs17359493	rs17359493
rs138905105	rs17359493
rs16917079	rs17359493
rs16917081	rs17359493
rs6986418	rs17359493
rs140357105	rs17359493
rs113905244	rs17359493
rs11775899	rs17359493
rs112153006	rs17359493
rs79477990	rs17359493
rs6989591	rs17359493
rs12056808	rs17359493
rs12056517	rs17359493
rs16917102	rs17359493
rs3214816	rs17359493
rs113269280	rs17359493
rs11786451	rs17359493
rs28399553	rs17359493
rs73271178	rs17359493
rs13254283	rs896854
rs2340584	rs896854
rs13262110	rs896854
rs7845219	rs896854
rs4735333	rs896854
rs896855	rs896854
rs896854	rs896854
rs1320164	rs896854
rs896852	rs896854
rs2879813	rs896854
rs7003387	rs896854
rs13255935	rs896854
rs6987752	rs896854
rs34624977	rs896854
rs10808671	rs896854
rs10956933	rs896854
rs726816	rs896854
rs2011566	rs896854
rs4735336	rs896854
rs10104909	rs896854
rs10081474	rs896854
rs13274945	rs896854
rs10099059	rs896854
rs10099941	rs896854
rs12386945	rs896854
rs6471503	rs896854
rs2340534	rs896854
rs13266634	rs3802177
rs3802177	rs3802177
rs11558471	rs3802177
rs35859536	rs3802177
rs9650069	rs3802177
rs4300038	rs3802177
rs11774700	rs3802177
rs12676584	rs1561927
rs7824269	rs1561927
rs7819154	rs1561927
rs1561927	rs1561927
rs4733612	rs1561927
rs4527850	rs4527850
rs10815355	rs10815355
rs4380994	rs7041847
rs10974435	rs7041847
rs7024686	rs7041847
rs7041847	rs7041847
rs10814914	rs7041847
rs4237150	rs4237150
rs7020673	rs7041847
rs10814916	rs7041847
rs4339696	rs7041847
rs10814917	rs7041847
rs4258054	rs4258054
rs12555283	rs17584499
rs12555691	rs17584499
rs17584499	rs17584499
rs649891	rs649891
rs35158895	rs564398
9:21999328:A	rs564398
rs1063192	rs564398
rs3217977	rs564398
rs2069418	rs564398
rs573687	rs564398
rs1101330	rs564398
rs1101329	rs564398
rs523096	rs564398
rs518394	rs564398
rs597816	rs564398
rs615552	rs564398
rs613312	rs564398
rs543830	rs564398
rs599452	rs564398
rs142048183	rs564398
rs62560774	rs564398
rs679038	rs564398
rs564398	rs564398
rs7865618	rs564398
rs634537	rs564398
rs2157719	rs564398
rs1008878	rs564398
rs1556515	rs564398
rs1333037	rs564398
rs1412830	rs564398
rs1412829	rs564398
rs1360589	rs564398
rs944801	rs564398
rs6475604	rs564398
rs7030641	rs564398
rs7853090	rs564398
rs7866783	rs564398
rs2383205	rs564398
rs1537378	rs564398
rs8181050	rs564398
rs10965246	rs10811661
rs10965247	rs10811661
rs10965248	rs10811661
rs10965250	rs10811661
rs10811660	rs10811661
rs10811661	rs10811661
rs12555274	rs7018475
rs7018475	rs7018475
rs7030811	rs1575972
rs7045760	rs1575972
rs12000501	rs1575972
rs7021613	rs1575972
rs1575972	rs1575972
rs824248	rs824248
rs824250	rs824248
rs17198915	rs17791513
rs17791483	rs17791513
rs35291478	rs17791513
rs17791513	rs17791513
rs147429629	rs17791513
rs34532817	rs17791513
rs13290396	rs17791513
rs11999051	rs17791513
rs71504938	rs17791513
rs1328412	rs17791513
rs2796441	rs2796441
rs10993730	rs10993738
rs10993738	rs10993738
rs10993740	rs10993738
rs59844916	rs10993738
rs2306042	rs10993738
rs72729078	rs10993738
rs111216754	rs10993738
rs59057775	rs10993738
rs79695922	rs10993738
rs72729082	rs10993738
rs12684347	rs10993738
rs9409437	rs1873747
rs7040014	rs1873747
rs9409619	rs1873747
rs7031240	rs1873747
rs9409620	rs1873747
rs2131303	rs1873747
rs9409447	rs1873747
rs7855529	rs1873747
rs7852614	rs1873747
rs62565053	rs1873747
rs9409448	rs1873747
rs143150097	rs1873747
rs7041911	rs1873747
rs9409634	rs1873747
rs145541537	rs1873747
rs9409635	rs1873747
rs9409636	rs1873747
rs1327796	rs1327796
rs28429551	rs11787792
rs28628657	rs11787792
rs28603210	rs11787792
rs11787792	rs11787792
rs3812547	rs11787792
rs60027654	rs11787792
rs2501677	rs2501677
rs11257655	rs11257655
rs1802295	rs1802295
rs10998639	rs1802295
rs4746821	rs1802295
rs34208345	rs2812533
rs2812533	rs2812533
rs810517	rs12571751
rs703977	rs12571751
rs9787485	rs9787485
rs1903860	rs10788575
rs11202594	rs10788575
rs12569872	rs10788575
rs10490920	rs10788575
rs200861498	rs10788575
rs200095282	rs10788575
rs78376243	rs10788575
rs79252540	rs10788575
rs76774620	rs10788575
rs199737917	rs10788575
rs4573602	rs10788575
rs1008435	rs10788575
rs10887765	rs10788575
rs10887766	rs10788575
rs11202614	rs10788575
rs1040316	rs10788575
rs10887770	rs10788575
rs10887772	rs10788575
rs10788573	rs10788575
rs1040317	rs10788575
rs2142136	rs10788575
rs12769346	rs10788575
rs71477180	rs10788575
rs10887773	rs10788575
rs10887775	rs10788575
rs10788574	rs10788575
rs10788575	rs10788575
rs11202627	rs10788575
rs5015480	rs7087591
rs11187139	rs7087591
rs10882102	rs7087591
rs34744311	rs7087591
rs11187144	rs7087591
rs7087591	rs7087591
rs2901609	rs7087591
rs1112718	rs7087591
rs10882106	rs7087591
rs10885116	rs10885122
rs10885117	rs10885122
rs10787312	rs10885122
rs10885118	rs10885122
rs7911807	rs10885122
rs4600141	rs10885122
rs10787313	rs10885122
rs10509937	rs10885122
rs4548554	rs10885122
rs10787315	rs10885122
rs10787316	rs10885122
rs4918635	rs10885122
rs4570512	rs10885122
rs10885122	rs10885122
rs36106955	rs10885122
rs34872471	rs7903146
rs35198068	rs7903146
rs7903146	rs7903146
rs1925282	rs7088969
rs7088969	rs7088969
rs4752105	rs7088969
rs10787790	rs7088969
rs10886471	rs10886471
rs10886472	rs10886471
rs11198904	rs10886471
rs11198907	rs10886471
rs11199755	rs35668226
rs35668226	rs35668226
rs11199771	rs35668226
rs10886852	rs35668226
rs11199774	rs35668226
rs10444045	rs35668226
rs10886854	rs35668226
rs12771493	rs35668226
rs11199781	rs35668226
rs2421017	rs10510110
rs10788284	rs10510110
rs11335400	rs10510110
rs2421016	rs10510110
rs10510110	rs10510110
rs2280141	rs10510110
rs12415758	rs10741243
rs1891801	rs10741243
rs7895030	rs10741243
rs10741243	rs10741243
rs7094311	rs10741243
rs7081792	rs10741243
rs4436470	rs10741243
rs4341449	rs10741243
rs2894935	rs10741243
rs2996077	rs10741243
rs2918147	rs10741243
rs3842772	rs3842770
rs3842770	rs3842770
rs3842764	rs3842770
rs115420895	rs3842770
rs11564710	rs11564710
rs7107784	rs7107784
rs231362	rs231362
rs80269905	rs80269905
rs7480855	rs7480855
rs163182	rs163182
rs2237897	rs2237896
rs11041816	rs11041816
rs1503932	rs2722769
rs2722770	rs2722769
rs2655090	rs2722769
rs2722769	rs2722769
rs2655100	rs2722769
rs66807312	rs5215
rs199518026	rs5215
rs34438900	rs5215
rs7928810	rs5215
rs10535629	rs5215
rs12146443	rs5215
rs12146652	rs5215
rs10832776	rs5215
rs4439492	rs5215
rs11024268	rs5215
rs2051772	rs5215
rs11024271	rs5215
rs1557765	rs5215
rs10734252	rs5215
rs1002226	rs5215
rs5215	rs5215
rs5219	rs5215
rs35271178	rs5215
rs2074314	rs5215
rs7124355	rs5215
rs4148646	rs5215
rs2074310	rs5215
rs67591021	rs9300039
rs12271525	rs9300039
rs7928200	rs9300039
rs34792144	rs9300039
rs12788548	rs9300039
rs12789350	rs9300039
rs12289711	rs9300039
rs9804537	rs9300039
rs12288738	rs9300039
rs1588439	rs9300039
rs9300039	rs9300039
rs11036622	rs9300039
rs7942415	rs9300039
rs12787647	rs9300039
rs12285430	rs9300039
rs11036624	rs9300039
rs11036625	rs9300039
rs7119926	rs9300039
rs12804210	rs9300039
rs7114241	rs9300039
rs7128743	rs9300039
rs11500415	rs9300039
rs12802634	rs9300039
rs12284657	rs9300039
rs71466952	rs9300039
rs11499853	rs9300039
rs34848032	rs9300039
rs34043764	rs11605924
rs11607182	rs11605924
rs11607883	rs11605924
rs12805422	rs11605924
rs7112505	rs11605924
rs11038672	rs11605924
rs6485644	rs11605924
rs7105751	rs11605924
rs12419690	rs11605924
rs6485645	rs11605924
rs7121611	rs11605924
rs6485646	rs11605924
rs12807179	rs11605924
rs10838524	rs11605924
rs12794698	rs11605924
rs11605924	rs11605924
rs11038694	rs11605924
rs7945565	rs11605924
rs1401419	rs11605924
rs11039149	rs10501320
rs11039154	rs10501320
rs10501320	rs10501320
rs4752977	rs10838687
rs7944419	rs7944584
rs11039165	rs7944584
rs10838687	rs10838687
rs11530166	rs10838687
rs7944584	rs7944584
rs6485751	rs10838687
rs4752979	rs10838687
rs12222581	rs10838687
rs2290148	rs10838687
rs11039182	rs7944584
rs7124958	rs10838687
rs753993	rs10838687
rs2305280	rs10838687
rs3729804	rs10838687
rs2290146	rs10838687
rs174529	rs174550
rs174530	rs174550
rs108499	rs174550
rs174533	rs174550
rs174534	rs174550
rs174536	rs174550
rs174537	rs174550
rs102274	rs174550
rs174538	rs174550
rs4246215	rs174550
rs174541	rs174550
rs174544	rs174550
rs174546	rs174550
rs174547	rs174550
rs174549	rs174550
rs174550	rs174550
rs174551	rs174550
rs174554	rs174550
rs174555	rs174550
rs174556	rs174550
rs174557	rs174550
rs7394579	rs174550
rs174559	rs174550
rs174561	rs174550
rs174562	rs174550
rs174564	rs174550
rs28456	rs174550
rs1535	rs174550
rs11605691	rs1552224
rs75896506	rs1552224
rs140717197	rs1552224
rs11603334	rs1552224
rs1552224	rs1552224
rs7129793	rs1552224
rs74333814	rs1552224
rs77464186	rs1552224
rs11603349	rs1552224
rs11602873	rs1552224
rs142489578	rs1552224
rs148527516	rs1552224
rs7109575	rs1552224
rs7103836	rs1552224
rs11603009	rs7129229
rs4486588	rs7129229
rs4506607	rs7129229
rs7129229	rs7129229
rs7930003	rs7129229
rs11827165	rs7129229
rs11822486	rs7129229
rs3847554	rs3847554
rs1387153	rs1387153
rs2121651	rs1387153
rs6483206	rs1387153
rs2121648	rs1387153
rs11523890	rs1387153
rs10830956	rs1387153
rs10765572	rs1387153
rs11020114	rs1387153
rs10830957	rs1387153
rs10765573	rs1387153
rs11020117	rs1387153
rs10830958	rs1387153
rs10830959	rs1387153
rs10830960	rs1387153
rs10741452	rs1387153
rs11020124	rs1387153
rs10830963	rs10830963
rs11501257	rs7107217
rs35035176	rs7107217
rs11343513	rs7107217
rs7119897	rs7107217
rs10744625	rs10744625
rs12302103	rs12302103
rs10842987	rs3751237
rs10492373	rs3751237
rs10842988	rs3751237
rs10771370	rs3751237
rs10771371	rs3751237
rs34442399	rs3751237
rs10842991	rs3751237
rs10771372	rs3751237
rs7953190	rs3751237
rs7966976	rs3751237
rs7970193	rs3751237
rs3751236	rs3751237
rs3751237	rs3751237
rs3751239	rs3751237
rs10842992	rs3751237
rs10842993	rs3751237
rs11049161	rs3751237
rs78345706	rs147538848
rs80234489	rs147538848
rs142985970	rs147538848
rs147538848	rs147538848
rs7978895	rs7978895
rs1849784	rs7978895
rs4565964	rs7978895
rs4768036	rs7978895
rs6421254	rs7978895
rs6582437	rs7978895
rs73090629	rs12304921
rs73310020	rs12304921
rs17125116	rs12304921
rs79024768	rs12304921
rs12305170	rs12304921
rs59546367	rs12304921
rs73090647	rs12304921
rs140900192	rs12304921
rs11169627	rs12304921
rs73090649	rs12304921
rs67420027	rs12304921
rs11169632	rs12304921
rs73295896	rs12304921
rs67106267	rs12304921
rs12310511	rs12304921
rs12316856	rs12304921
rs12304878	rs12304921
rs61606166	rs12304921
rs56087503	rs12304921
rs67646958	rs12304921
rs141832341	rs12304921
rs79907213	rs12304921
rs12306808	rs12304921
rs35105630	rs12304921
rs4768941	rs12304921
rs4768942	rs12304921
rs12315928	rs12304921
rs4768945	rs12304921
rs67654320	rs12304921
rs73090666	rs12304921
rs58999537	rs12304921
rs12318464	rs12304921
rs12304921	rs12304921
rs73092531	rs12304921
rs66518563	rs12304921
rs73092537	rs12304921
rs141979850	rs12304921
rs4768948	rs12304921
rs224446	rs12304921
rs143582379	rs12304921
rs224587	rs12304921
rs7397068	rs12304921
rs2269686	rs12304921
rs75403319	rs12304921
rs1079521	rs12304921
rs1153188	rs1153188
rs1153189	rs1153188
rs1153190	rs1153188
rs1250444	rs1153188
rs11377390	rs1153188
rs1249988	rs1153188
rs1249954	rs1153188
rs2260663	rs343092
rs2261070	rs2261181
rs2612048	rs2261181
rs2583933	rs2261181
rs971779	rs343092
rs2612044	rs2261181
rs2612043	rs2261181
rs113387323	rs2261181
rs2583952	rs2261181
rs2583953	rs2261181
rs2583918	rs2261181
rs2583943	rs343092
rs2612073	rs2261181
rs2612072	rs2261181
rs2947794	rs343092
rs2947795	rs343092
rs2261181	rs2261181
rs2583939	rs343092
rs2583938	rs343092
rs2257883	rs343092
rs2583934	rs343092
rs2612059	rs343092
rs2446768	rs343092
rs2583930	rs343092
rs343092	rs343092
rs343093	rs343092
rs343087	rs343092
rs1495377	rs1495377
rs1390201	rs1495377
rs4760920	rs7961581
rs7961581	rs7961581
rs35767	rs35767
rs35747	rs35767
rs7305618	rs7305618
rs55783344	rs55783344
rs3751156	rs55783344
rs78580370	rs55783344
rs71845478	rs55783344
rs56922026	rs55783344
rs3751153	rs55783344
rs3751152	rs55783344
rs139431288	rs55783344
rs140903629	rs55783344
rs3999410	rs55783344
rs7957197	rs7957197
rs7965349	rs7957197
rs7962128	rs10849893
rs10849893	rs10849893
rs12423334	rs10849893
rs1727317	rs1727313
rs1106240	rs1727313
rs1727313	rs1727313
rs5801505	rs1727313
rs1790097	rs1727313
rs1727310	rs1727313
rs2695478	rs1727313
rs1727324	rs1727313
rs1727322	rs1727313
rs9550942	rs9552911
rs9552894	rs9552911
rs77352466	rs9552911
rs9550944	rs9552911
rs9552896	rs9552911
rs9552897	rs9552911
rs80140153	rs9552911
rs9552898	rs9552911
rs9550946	rs9552911
rs9552909	rs9552911
rs9552911	rs9552911
rs34238147	rs10507349
13:26776766:A	rs10507349
13:26776766:T	rs10507349
rs34584161	rs10507349
rs9581587	rs10507349
rs76154673	rs10507349
rs34897738	rs10507349
rs4545656	rs10507349
rs4630391	rs10507349
rs9319280	rs10507349
rs9581589	rs10507349
rs144151853	rs10507349
rs34015717	rs10507349
rs34701644	rs10507349
rs12873948	rs10507349
rs35328831	rs10507349
rs10467680	rs10507349
rs12869931	rs10507349
rs10507349	rs10507349
rs12874929	rs10507349
rs35139305	rs10507349
rs9581591	rs10507349
rs3759468	rs10507349
rs3759469	rs10507349
rs3759470	rs10507349
rs79340173	rs10507349
rs12874375	rs10507349
rs11149501	rs2293941
rs4325403	rs2293941
rs4287424	rs2293941
rs7993852	rs2293941
rs4769579	rs2293941
rs4769580	rs2293941
rs6491237	rs2293941
rs954750	rs2293941
rs58166834	rs2293941
rs11616419	rs2293941
rs7331951	rs2293941
rs7326283	rs2293941
rs12429454	rs2293941
rs56209434	rs2293941
rs11619319	rs2293941
rs4771189	rs2293941
rs35369009	rs2293941
rs61944003	rs2293941
rs2293941	rs2293941
rs61944005	rs2293941
rs3812861	rs2293941
rs7331478	rs2293941
rs4002828	rs2293941
rs61944006	rs2293941
rs57247118	rs2293941
rs60353775	rs2293941
rs7981781	rs2293941
rs55836809	rs2293941
rs9525916	rs9525916
rs2055497	rs9572182
rs9529594	rs9572182
rs9529595	rs9572182
rs9541960	rs9572182
rs9634956	rs9572182
rs9572182	rs9572182
rs1327315	rs1359790
rs12428731	rs1359790
rs1215451	rs1359790
rs1359790	rs1359790
rs12853515	rs12853515
rs2300835	rs2300835
rs8021593	rs8004664
rs11623823	rs8004664
rs8004664	rs8004664
rs7142571	rs8004664
rs8003022	rs8004664
rs730570	rs730570
rs4900470	rs730570
rs11073334	rs7403531
rs3743140	rs67839313
rs67839313	rs67839313
rs11856877	rs67839313
rs335810	rs335810
rs4502156	rs7172432
rs1881415	rs7172432
rs67818839	rs7172432
rs7163757	rs7172432
rs8038040	rs7172432
rs6494307	rs7172432
rs7161785	rs7172432
rs7167878	rs7172432
rs7167932	rs7172432
rs7172432	rs7172432
rs7173964	rs7172432
rs4775466	rs7172432
rs4775467	rs7172432
rs10083587	rs7172432
rs11856307	rs7172432
rs17205526	rs7172432
rs11071657	rs7172432
rs28463975	rs1549318
rs1549318	rs1549318
rs2059321	rs1549318
rs11072217	rs1549318
rs11853938	rs1549318
rs113350503	rs1549318
rs10459645	rs1549318
rs7176747	rs1549318
rs11630895	rs1549318
rs12148192	rs1549318
rs12148196	rs1549318
rs28580177	rs1549318
rs9920914	rs1549318
rs8042275	rs1549318
rs28621971	rs1549318
rs11637470	rs1549318
rs3825970	rs1549318
rs1549317	rs1549318
rs7180700	rs1549318
rs12901739	rs7178572
rs12904088	rs7178572
rs3743478	rs7178572
rs1823100	rs7178572
rs4886850	rs7178572
rs3743479	rs7178572
rs1446312	rs7178572
rs11072643	rs7178572
rs35958775	rs7178572
rs8028571	rs7178572
rs4886511	rs7178572
rs4243045	rs7178572
rs11854193	rs7178572
rs1867779	rs7178572
rs12443386	rs7178572
rs12907847	rs7178572
rs7163503	rs7178572
rs12914128	rs7178572
rs12900433	rs7178572
rs12916731	rs7178572
rs4886856	rs7178572
rs11853460	rs7178572
rs11630689	rs7178572
rs35142497	rs7178572
rs4414462	rs7178572
rs11632941	rs7178572
rs12913233	rs7178572
rs12909924	rs7178572
rs5813861	rs7178572
rs2175941	rs7178572
rs11858641	rs7178572
rs62008452	rs7178572
rs11857294	rs7178572
rs28524916	rs7178572
rs11636554	rs7178572
rs4886858	rs7178572
rs11632966	rs7178572
rs1493700	rs7178572
rs7167794	rs7178572
rs1191196	rs7178572
rs12905951	rs7178572
rs4886862	rs7178572
rs8030074	rs7178572
rs1473922	rs7178572
rs1565757	rs7178572
rs12910480	rs7178572
rs1389436	rs7178572
rs12914345	rs7178572
rs7175674	rs7178572
rs7176302	rs7178572
rs7166927	rs7178572
rs10152181	rs7178572
rs8037561	rs7178572
rs12906708	rs7178572
rs1602925	rs7178572
rs4886515	rs7178572
rs12911371	rs7178572
rs11072653	rs7178572
rs4886866	rs7178572
rs11852471	rs7178572
rs62007299	rs7178572
rs34591043	rs7178572
rs8024485	rs7178572
rs12904938	rs7178572
rs1565756	rs7178572
rs7178572	rs7178572
rs11633054	rs7178572
rs2055901	rs7178572
rs6495240	rs7178572
rs12324627	rs7178572
rs952471	rs7178572
rs952472	rs7178572
rs965480	rs7178572
rs12910361	rs7178572
rs1022172	rs7178572
rs11857450	rs7178572
rs59153558	rs7178572
rs35510813	rs7178572
rs62009066	rs7178572
rs1005752	rs7178572
rs12901503	rs7178572
rs907388	rs7178572
rs869301	rs7178572
rs2461639	rs11634397
rs1357335	rs11634397
rs1357336	rs11634397
rs12914401	rs11634397
rs8042747	rs11634397
rs939974	rs11634397
rs12148254	rs11634397
rs870184	rs11634397
rs870185	rs11634397
rs35863112	rs11634397
rs34579896	rs11634397
rs35654883	rs11634397
rs8038958	rs11634397
rs8042120	rs11634397
rs59959094	rs11634397
rs4778582	rs11634397
rs7175982	rs11634397
rs11634397	rs11634397
rs34140486	rs11634397
rs12914656	rs12914656
rs9920421	rs2028299
rs9920762	rs2028299
rs9920775	rs2028299
rs1966720	rs2028299
rs4932144	rs2028299
rs7111	rs2028299
rs2028299	rs2028299
rs6496609	rs2028299
rs748508	rs2028299
rs3960018	rs2028299
rs7174644	rs2028299
rs1371135	rs2028299
rs7174477	rs2028299
rs4932148	rs2028299
rs145945462	rs2028299
rs7183842	rs2028299
rs4932149	rs2028299
rs12594774	rs2028299
rs2165069	rs2028299
rs2118847	rs2028299
rs3759831	rs2028299
rs7163629	rs2028299
rs8026131	rs2028299
rs986505	rs2028299
rs12440156	rs2028299
rs8034631	rs2028299
rs4932264	rs2028299
rs4932265	rs2028299
rs8027198	rs2028299
rs1866475	rs2028299
rs1866476	rs2028299
rs11638138	rs2028299
rs12912009	rs2028299
rs4932261	rs2028299
rs2043880	rs2028299
rs10635983	rs8042680
rs1105291	rs79548680
rs1867220	rs8042680
rs1867219	rs8042680
rs79548680	rs79548680
rs8028409	rs79548680
rs2034085	rs8042680
rs8037137	rs79548680
rs2034084	rs8042680
rs7171333	rs8042680
rs112770790	rs79548680
rs4932182	rs8042680
rs11306801	rs8042680
rs12910825	rs8042680
rs2290202	rs79548680
rs2890156	rs79548680
rs139256619	rs8042680
rs4508401	rs8042680
rs11853024	rs8042680
rs1443256	rs8042680
rs12898311	rs8042680
rs36074798	rs8042680
rs8031915	rs8042680
rs8037254	rs8042680
rs12594925	rs79548680
rs12593261	rs8042680
rs4544218	rs8042680
rs8042680	rs8042680
rs7167128	rs8042680
rs2301825	rs79548680
rs6496743	rs8042680
rs12594752	rs79548680
rs76119208	rs79548680
rs6496747	rs8042680
rs11311113	rs8042680
rs78029804	rs79548680
15:91539050:T	rs79548680
rs2386584	rs8042680
rs4244883	rs8042680
rs6496748	rs8042680
rs79253100	rs79548680
rs10775251	rs8042680
rs7164916	rs8042680
rs11073967	rs8042680
rs8048589	rs8048589
rs7187250	rs9939609
rs7193144	rs9939609
rs62033399	rs9939609
rs8063057	rs9939609
rs17817449	rs9939609
rs8043757	rs9939609
rs9972653	rs9939609
rs8050136	rs9939609
rs8051591	rs9939609
rs9935401	rs9939609
rs9933509	rs9939609
rs3751814	rs9939609
rs9931900	rs9939609
rs9936385	rs9939609
rs9923233	rs9939609
rs9923312	rs9939609
rs11075988	rs9939609
rs11075989	rs9939609
rs11075991	rs9939609
rs11075992	rs9939609
rs9926289	rs9939609
rs9937709	rs9939609
rs7206410	rs9939609
rs7206629	rs9939609
rs7202116	rs9939609
rs7202296	rs9939609
rs7201850	rs9939609
rs66908032	rs9939609
rs113935429	rs9939609
rs72803697	rs9939609
rs62033403	rs9939609
rs7206122	rs9939609
rs7190396	rs9939609
rs7185735	rs9939609
rs744972	rs744972
rs80108465	rs17797882
rs77709545	rs17797882
rs4128452	rs17797882
rs76996661	rs17797882
rs77882362	rs17797882
rs76544785	rs17797882
rs75738655	rs17797882
rs17797882	rs17797882
rs3812994	rs17797882
rs4888020	rs17797882
rs4888961	rs17797882
rs140672512	rs17797882
rs17797901	rs17797882
rs78513820	rs17797882
rs75589487	rs17797882
rs4888963	rs17797882
rs113006764	rs17797882
rs59785814	rs17797882
rs75581834	rs16955379
rs16955379	rs16955379
rs138067921	rs16955379
rs4074373	rs4074373
rs4843575	rs377457
rs451871	rs377457
rs2004453	rs377457
rs72803037	rs377457
rs623323	rs623323
rs364584	rs391300
rs505744	rs391300
rs510151	rs391300
rs66529059	rs391300
rs36113682	rs391300
rs391300	rs391300
rs4790332	rs391300
rs76432155	rs75493593
rs76070643	rs75493593
rs78972129	rs75493593
rs17203120	rs75493593
rs75075014	rs75493593
rs145952323	rs75493593
rs117767867	rs75493593
rs2292351	rs75493593
rs74577409	rs75493593
rs77552976	rs75493593
rs17203148	rs75493593
rs10908278	rs10908278
rs10853287	rs10460009
rs10460009	rs10460009
rs66986914	rs10460009
rs68010943	rs10460009
rs146496433	rs10460009
rs68077792	rs10460009
rs7241443	rs10460009
rs12454079	rs10460009
rs3897586	rs10460009
rs12456042	rs10460009
rs16944160	rs10460009
rs10502310	rs10460009
rs11872389	rs6506284
rs6506284	rs6506284
rs73382481	rs6506284
rs7234998	rs8090011
rs7240767	rs8090011
rs10678867	rs8090011
rs275856	rs275856
rs11354399	rs12970134
rs8097210	rs12970134
rs8089364	rs12970134
rs12969709	rs12970134
rs921971	rs12970134
rs74805059	rs12970134
rs12958167	rs12970134
rs34712774	rs12970134
rs12954782	rs12970134
rs1942872	rs12970134
rs12955983	rs12970134
rs11665563	rs12970134
rs11663816	rs12970134
rs11664883	rs12970134
rs2045438	rs12970134
rs17175602	rs12970134
rs2045439	rs12970134
rs12957325	rs12970134
rs12970134	rs12970134
rs35476226	rs12970134
rs67713315	rs12970134
rs11665439	rs12970134
rs67194783	rs12970134
rs56804022	rs12970134
rs12956871	rs12970134
rs12960928	rs12970134
rs12964203	rs12970134
rs34893777	rs12970134
rs656384	rs12970134
rs2168708	rs12970134
rs11665052	rs12970134
rs17175713	rs12970134
rs12966550	rs12970134
rs146693753	rs12970134
rs3786897	rs3786897
rs8107837	rs3786897
rs3786898	rs3786897
rs10403360	rs3786897
rs3786901	rs3786897
rs472265	rs472265
rs4803200	rs472265
rs35816837	rs7507912
rs200706727	rs7507912
rs7507912	rs7507912
rs742731	rs742731
rs11087387	rs6048205
